matricula,setor,nivel,idade,renda_mensal,horas_mes,produtividade,satisfacao,certificacao,data_admissao
VC4483,Contabil,junior,36,3631.02,147.5,91.27,10.0,CNAI,2019-12-04
VC4280,Contabil,junior,34,2203.89,181.3,98.4,7.4,-,2019-09-25
VC4840,Contabil,pleno,29,3991.42,191.8,104.42,8.5,CNAI,2023-09-04
VC4757,Contabil,pleno,40,null,187.3,96.16,4.1,-,2019-02-08
VC4421,Contabil,junior,29,3073.91,189.5,92.59,5.1,-,2024-05-06
VC4405,Contabil,junior,52,null,156.1,70.09,7.2,CRC,2022-06-02
VC4914,Auditoria,pleno,44,4125.93,177.4,134.01,6.8,CRC,2020-04-05
VC4793,Contabil,senior,45,2211.29,,72.77,9.5,CNAI,2017-04-01
VC4835,Fiscal,junior,36,N/A,183.5,106.86,4.0,-,2020-01-19
VC4444,Contabil,junior,35,6508.31,145.1,78.32,6.1,CNAI,2023-10-21
VC4221,Contabil,senior,36,5348.32,142.0,60.96,6.1,-,2019-12-14
VC4203,Auditoria,junior,30,NA,208.6,115.23,6.6,-,2016-04-21
VC4480,Pessoal,junior,39,2963.45,142.5,50.94,6.8,CNAI,2023-04-09
VC4493,Societario,pleno,47,6052.35,119.4,71.52,5.5,CNAI,2019-07-16
VC4438,Societario,junior,38,5199.24,171.4,82.07,7.1,CRC,2018-12-05
VC4277,Pessoal,senior,34,2233.15,182.8,98.11,5.8,-,2015-06-18
VC4530,Fiscal,junior,36,5177.01,191.5,139.09,8.6,-,2019-03-19
VC4400,Societario,junior,26,4298.35,160.0,108.49,7.8,CRC,2021-10-12
VC4554,Societario,junior,40,7014.33,201.4,111.37,8.3,-,2019-10-11
VC4371,Auditoria,senior,42,1933.09,,66.01,7.5,CRC,2015-04-04
VC4618,Contabil,junior,53,2402.26,171.4,91.07,7.0,CRC,2022-08-19
VC4381,Fiscal,pleno,33,3139.25,182.3,93.7,6.7,-,2019-05-19
VC4251,Contabil,junior,27,6716.59,192.7,110.73,6.2,CNAI,2019-09-08
VC4717,Auditoria,pleno,37,1760.82,159.4,123.38,5.8,-,2023-01-22
VC4985,Pessoal,junior,19,2742.63,151.6,73.78,9.5,-,2020-06-28
VC4983,Societario,senior,43,2906.31,167.0,102.14,6.2,CRC,2019-03-21
VC4380,Societario,junior,34,1980.8,206.4,115.64,NA,CNAI,2023-11-25
VC4237,Pessoal,pleno,46,-,164.0,84.32,6.0,-,2023-09-11
VC4916,Contabil,junior,22,1047.81,126.0,80.2,6.4,-,2017-02-26
VC4286,Contabil,senior,38,6478.99,181.2,121.23,5.1,CNAI,2021-06-02
VC4456,Auditoria,junior,49,13194.7,208.8,112.39,n/a,CNAI,2017-01-01
VC4274,Auditoria,pleno,50,2061.67,188.6,141.15,6.7,-,2016-05-02
VC4826,Contabil,junior,47,5480.54,150.9,87.75,6.5,-,2019-05-16
VC4648,Societario,junior,31,2780.62,148.0,96.52,6.8,CNAI,2021-02-01
VC4678,Fiscal,senior,56,3116.11,190.5,115.4,6.0,-,2016-06-07
VC5042,Fiscal,pleno,39,3127.16,207.9,125.16,6.5,-,2016-02-24
VC4861,Fiscal,junior,32,8704.56,177.2,117.98,10.0,-,2021-02-14
VC4441,Auditoria,junior,45,9684.18,171.1,102.54,9.0,-,2022-04-06
VC4915,Pessoal,junior,35,6588.83,204.8,118.68,8.8,-,2020-08-16
VC4953,Contabil,junior,39,4239.46,188.4,103.03,6.0,CRC,2021-03-13
VC4866,Pessoal,junior,39,n/a,151.4,92.1,5.7,CNAI,2024-06-17
VC4503,Fiscal,junior,32,2972.52,179.4,80.58,7.4,-,2023-04-26
VC4425,Contabil,junior,42,3709.84,154.6,79.83,8.4,-,2020-07-06
VC4794,Societario,junior,44,2096.7,182.9,128.48,5.6,-,2024-05-06
VC4882,Fiscal,pleno,43,5720.26,183.6,89.77,7.0,CRC,2016-08-03
VC4891,Pessoal,senior,45,5508.15,176.3,102.83,,-,2024-03-12
VC4351,Pessoal,pleno,35,13936.32,164.4,100.15,6.3,-,2021-04-01
VC4859,Auditoria,junior,35,8221.32,190.8,113.88,5.6,CNAI,2020-04-22
VC4975,Pessoal,junior,33,N/A,158.9,64.92,6.8,-,2021-08-09
VC4721,Fiscal,junior,31,4122.58,155.2,83.7,n/a,-,2021-02-07
VC4501,Fiscal,junior,43,4085.45,166.6,105.71,10.0,-,2021-01-01
VC4298,Auditoria,pleno,22,4695.42,166.1,81.74,7.3,CRC,2023-11-14
VC4966,Contabil,junior,41,1809.73,203.4,131.11,5.6,-,2023-01-13
VC4243,Societario,pleno,39,4426.08,169.4,97.03,7.9,-,2015-08-21
VC4428,Fiscal,junior,29,2509.04,177.3,110.19,7.5,-,2021-12-26
VC4311,Pessoal,pleno,43,3741.36,212.1,89.34,6.0,-,2022-08-15
VC4820,Contabil,senior,49,3359.52,176.3,90.96,6.6,CNAI,2023-01-12
VC4597,Contabil,senior,48,6321.44,,117.27,7.4,CRC,2021-05-14
VC4358,Fiscal,junior,54,2490.83,189.7,109.99,5.6,-,2020-12-04
VC5029,Auditoria,junior,28,984.43,134.8,99.91,7.6,-,2024-07-03
VC4423,Auditoria,senior,43,2005.54,174.5,97.74,null,-,2018-10-09
VC4516,Fiscal,pleno,23,3576.69,184.3,74.6,5.3,-,2019-04-16
VC4382,Pessoal,junior,44,3213.46,143.7,82.94,-,-,2018-08-08
VC4598,Contabil,junior,22,3441.62,145.4,39.71,6.0,-,2017-11-01
VC4282,Fiscal,senior,41,3587.86,145.5,72.47,10.0,CRC,2015-01-24
VC5087,Auditoria,junior,41,1110.15,138.0,81.78,4.1,-,2018-02-03
VC4301,Fiscal,junior,29,4515.97,170.7,114.58,-,-,2016-07-27
VC4325,Societario,senior,41,2139.3,146.0,77.81,4.8,-,2023-04-24
VC5075,Contabil,junior,28,3867.36,237.3,135.03,4.6,-,2020-06-06
VC4592,Contabil,junior,26,8737.46,170.0,99.71,8.7,-,2018-03-01
VC4981,Auditoria,junior,35,1404.78,189.5,123.95,6.3,-,2020-05-08
VC4372,Societario,pleno,33,5872.8,188.2,101.18,7.7,-,2021-05-14
VC4993,Fiscal,pleno,23,1712.91,177.6,106.34,7.2,-,2023-05-20
VC4841,Auditoria,junior,41,8317.15,165.4,113.63,7.8,-,2016-06-07
VC4984,Contabil,senior,29,,188.6,112.37,6.0,CRC,2021-07-27
VC4890,Pessoal,junior,36,-,188.8,100.93,6.3,CRC,2018-09-21
VC5095,Fiscal,pleno,36,4462.66,218.2,108.52,3.3,CRC,2022-04-28
VC4363,Auditoria,senior,24,1552.53,199.2,119.29,8.8,CNAI,2021-06-25
VC4767,Pessoal,junior,49,-,182.5,94.5,10.0,CNAI,2021-02-20
VC4743,Contabil,pleno,34,4671.72,180.0,103.03,9.0,CNAI,2017-08-21
VC4846,Societario,senior,43,8725.83,150.8,86.1,4.8,-,2021-07-11
VC4671,Fiscal,pleno,31,5126.71,144.2,81.24,5.5,CNAI,2017-08-25
VC4701,Fiscal,junior,24,3302.64,,93.7,8.2,-,2023-05-07
VC4738,Pessoal,pleno,35,2855.41,191.9,84.91,7.7,-,2021-03-21
VC4244,Pessoal,pleno,51,3577.67,191.4,95.19,8.1,CRC,2016-07-26
VC4992,Societario,senior,36,1927.7,,103.95,5.1,CNAI,2021-10-09
VC4831,Contabil,senior,51,,138.2,63.29,6.7,-,2015-08-06
VC4806,Societario,pleno,32,3175.85,151.5,70.91,6.5,-,2017-01-28
VC4904,Societario,junior,44,1915.92,133.5,70.43,6.9,CNAI,2024-06-23
VC4973,Societario,pleno,19,3525.95,141.7,93.06,4.6,-,2017-05-10
VC5025,Contabil,senior,31,n/a,177.5,107.19,n/a,-,2016-02-19
VC4339,Fiscal,junior,29,3180.08,151.6,92.85,8.0,-,2022-10-16
VC4654,Contabil,pleno,37,10981.06,202.2,92.97,8.1,CNAI,2021-10-13
VC4563,Pessoal,pleno,39,5623.72,146.7,123.44,5.4,-,2022-12-07
VC4504,Societario,junior,32,1397.12,161.5,110.64,-,CNAI,2017-02-26
VC4854,Societario,junior,31,1991.75,187.1,116.05,8.5,CRC,2021-09-09
VC4937,Contabil,pleno,37,6805.68,192.7,66.87,4.5,CRC,2015-08-02
VC4736,Fiscal,pleno,25,2914.92,161.6,113.74,6.9,CNAI,2019-06-06
VC4791,Contabil,junior,31,3312.23,135.3,62.27,7.2,-,2021-06-02
VC5061,Pessoal,senior,62,5646.76,179.2,104.08,-,CRC,2018-11-09
VC4777,Pessoal,senior,32,2049.8,162.8,68.66,8.3,CRC,2015-06-05
VC4499,Pessoal,pleno,39,-,181.1,71.13,7.7,-,2022-04-22
VC4729,Fiscal,pleno,29,5365.21,178.2,83.05,8.2,-,2016-03-11
VC4634,Pessoal,junior,28,2118.03,164.5,80.41,7.1,-,2023-03-15
VC4901,Fiscal,senior,35,2979.3,148.6,116.38,7.3,-,2018-11-27
VC4637,Societario,pleno,46,3242.61,152.2,84.08,7.4,-,2018-11-13
VC5044,Pessoal,junior,21,7007.6,194.8,88.95,null,-,2017-08-20
VC4808,Societario,senior,19,16123.43,180.8,97.25,8.7,-,2019-08-28
VC5091,Auditoria,junior,27,1687.68,191.0,107.75,7.0,-,2015-11-16
VC4318,Societario,junior,47,2456.57,174.7,81.3,8.7,CNAI,2021-06-13
VC4330,Pessoal,junior,30,4292.03,195.6,100.34,6.4,-,2016-03-21
VC4475,Pessoal,junior,45,1932.82,209.2,146.98,6.6,-,2023-03-13
VC5049,Contabil,senior,30,6698.34,179.2,92.93,6.6,-,2015-03-20
VC4600,Fiscal,pleno,40,3815.56,137.5,75.69,8.3,-,2019-03-12
VC4816,Pessoal,junior,37,4580.56,179.9,99.44,8.0,-,2016-11-26
VC4700,Contabil,pleno,35,1879.28,186.3,104.93,6.1,CNAI,2020-04-22
VC4567,Auditoria,pleno,25,5563.17,178.9,111.94,7.1,CNAI,2018-04-03
VC4374,Pessoal,senior,27,2415.12,166.4,105.9,N/A,CNAI,2024-04-11
VC4610,Fiscal,junior,51,3527.39,152.8,64.32,6.8,-,2023-02-04
VC4202,Fiscal,junior,35,11072.73,134.2,93.87,8.0,-,2016-04-03
VC4871,Societario,senior,39,10853.4,166.4,133.62,7.1,-,2024-06-02
VC4247,Fiscal,pleno,39,3777.69,161.5,84.03,-,CNAI,2017-01-05
VC4759,Contabil,senior,42,3995.62,148.8,73.03,6.3,-,2016-04-17
VC4439,Societario,junior,24,1744.68,157.5,78.5,9.0,CNAI,2019-07-26
VC4521,Auditoria,junior,43,7464.39,133.5,71.29,6.0,-,2022-06-14
VC4462,Pessoal,junior,43,2780.08,199.9,119.45,7.1,CNAI,2016-11-07
VC4675,Societario,senior,29,4574.8,144.6,85.43,9.3,-,2021-01-21
VC4415,Societario,pleno,38,6457.51,143.4,83.68,n/a,-,2017-08-13
VC4863,Auditoria,pleno,50,2210.81,152.2,94.08,N/A,-,2016-05-13
VC5014,Fiscal,pleno,25,8035.01,186.4,97.17,6.1,-,2021-01-26
VC4707,Pessoal,senior,20,3429.09,172.2,104.68,8.1,CNAI,2015-07-02
VC4851,Societario,pleno,29,3431.35,168.1,138.87,5.6,-,2022-09-22
VC4828,Contabil,senior,36,3462.62,171.7,96.34,6.1,-,2016-06-01
VC4817,Pessoal,junior,43,2234.11,222.6,116.8,7.0,CNAI,2021-02-01
VC4766,Fiscal,junior,43,7041.53,172.7,123.6,5.1,CRC,2024-04-15
VC4417,Societario,pleno,38,4805.9,,94.65,n/a,CRC,2015-11-05
VC4215,Societario,junior,45,5457.7,175.0,79.06,8.6,CRC,2019-08-23
VC4761,Auditoria,pleno,36,3851.51,154.9,63.6,-,CRC,2023-10-19
VC4724,Pessoal,junior,44,1845.09,167.7,100.14,4.8,CNAI,2024-10-08
VC5018,Societario,junior,22,3106.25,143.6,78.98,7.9,-,2015-04-23
VC4719,Contabil,junior,37,8936.36,165.1,92.73,n/a,-,2019-03-18
VC4708,Auditoria,junior,34,10529.12,171.9,105.99,8.4,CNAI,2019-03-13
VC4848,Contabil,senior,48,5962.9,153.2,69.69,8.5,CRC,2018-10-17
VC4486,Fiscal,pleno,38,3357.42,175.4,104.05,6.4,CRC,2019-04-13
VC4279,Auditoria,pleno,52,2205.63,152.7,89.64,3.0,CRC,2017-05-02
VC5034,Contabil,junior,33,5328.08,148.8,97.95,6.9,-,2016-12-04
VC4843,Pessoal,junior,24,2875.28,171.9,86.49,8.3,CRC,2018-09-02
VC5009,Fiscal,junior,42,6496.44,192.3,98.68,7.8,CNAI,2018-05-07
VC4564,Pessoal,pleno,22,2784.92,126.9,86.75,6.4,CRC,2021-08-18
VC4682,Contabil,junior,40,NA,164.2,78.58,null,-,2019-07-20
VC4728,Societario,junior,31,2455.39,164.3,96.98,7.8,CRC,2019-05-07
VC5008,Societario,junior,42,4395.87,190.1,103.22,5.0,CNAI,2016-12-17
VC4635,Fiscal,pleno,26,7594.43,170.0,94.02,6.9,-,2021-10-10
VC4457,Fiscal,junior,39,2279.98,147.1,59.62,9.0,CNAI,2020-03-23
VC4661,Fiscal,junior,28,3022.61,146.3,103.74,8.5,-,2021-11-18
VC4711,Auditoria,junior,37,-,87.5,70.47,8.2,CRC,2016-11-10
VC4925,Auditoria,junior,49,4565.49,183.6,60.03,5.5,CNAI,2019-07-18
VC4306,Contabil,junior,40,6170.45,156.9,77.12,8.5,-,2022-07-03
VC4950,Pessoal,pleno,37,11291.42,,78.09,9.1,CRC,2020-07-28
VC4762,Fiscal,senior,44,1610.33,164.1,98.5,7.0,CRC,2022-03-28
VC4227,Auditoria,junior,33,3282.29,168.3,63.37,5.0,-,2021-02-16
VC4385,Contabil,pleno,38,3237.36,178.5,107.55,6.1,CRC,2022-01-04
VC4491,Auditoria,senior,53,5962.4,214.1,94.15,5.3,CNAI,2016-08-14
VC4644,Fiscal,pleno,52,3766.17,175.3,116.75,6.7,-,2020-12-25
VC4832,Societario,senior,38,5528.12,163.0,96.82,5.5,-,2015-02-05
VC4588,Pessoal,senior,43,3986.39,184.0,111.74,6.8,CNAI,2022-02-13
VC4650,Auditoria,junior,37,1735.22,199.2,110.73,5.3,-,2024-10-04
VC4482,Contabil,pleno,35,3520.67,206.1,83.9,,-,2023-06-06
VC4955,Pessoal,senior,37,1645.86,154.9,84.12,8.1,-,2021-05-16
VC4783,Societario,junior,37,2650.27,173.3,86.33,7.7,-,2020-01-11
VC4208,Fiscal,pleno,33,1762.43,158.0,82.14,7.0,-,2018-08-22
VC4862,Contabil,pleno,34,4371.82,188.6,112.21,6.2,-,2016-06-12
VC5086,Societario,junior,34,2026.36,136.8,61.13,,-,2023-01-08
VC4607,Pessoal,senior,46,2210.95,143.8,102.87,4.8,-,2016-01-14
VC4921,Contabil,junior,35,2266.85,163.9,77.32,9.8,CRC,2020-01-27
VC4487,Societario,junior,53,2274.89,212.0,126.22,6.3,-,2021-12-08
VC4625,Societario,senior,48,9836.87,190.3,118.59,8.5,CRC,2020-09-05
VC4393,Contabil,pleno,37,2559.27,227.5,109.9,7.7,CRC,2018-01-26
VC4689,Pessoal,pleno,45,5138.97,159.4,95.49,5.2,-,2018-08-10
VC4715,Societario,senior,50,1839.2,192.9,115.14,5.8,-,2018-05-17
VC5035,Contabil,junior,38,3196.09,185.7,116.22,5.4,-,2017-10-17
VC4646,Pessoal,junior,42,1773.51,158.6,91.85,10.0,CNAI,2024-10-28
VC4542,Societario,junior,57,2188.21,193.5,104.52,6.5,-,2024-10-22
VC4211,Pessoal,pleno,41,7900.63,192.7,88.84,7.3,-,2022-05-20
VC5053,Contabil,junior,30,3318.7,201.9,113.07,6.2,-,2015-06-08
VC4391,Pessoal,junior,47,4110.98,173.5,126.02,6.0,CNAI,2019-01-20
VC5056,Pessoal,junior,49,6245.43,176.3,102.28,3.6,-,2016-08-06
VC4509,Pessoal,junior,27,3483.6,137.5,94.73,8.0,-,2020-08-16
VC4535,Auditoria,senior,27,5238.36,175.7,101.93,,CRC,2018-01-22
VC4908,Fiscal,junior,43,7615.28,144.8,81.84,n/a,CNAI,2017-07-11
VC4746,Auditoria,junior,35,2167.17,138.6,90.68,6.5,-,2016-11-02
VC4278,Societario,senior,36,4472.25,207.6,124.25,n/a,-,2024-03-02
VC4798,Pessoal,senior,41,2923.54,156.7,54.31,6.4,-,2016-08-11
VC4976,Fiscal,junior,44,8415.45,161.3,59.6,7.5,-,2022-09-27
VC4643,Fiscal,junior,33,1791.57,214.2,134.45,7.8,CRC,2024-06-15
VC4575,Pessoal,senior,59,3395.75,156.0,78.76,8.0,-,2018-03-13
VC4424,Auditoria,pleno,37,7611.36,,123.33,7.4,-,2020-01-07
VC4259,Auditoria,junior,32,3056.48,173.0,75.47,7.2,CRC,2022-06-20
VC4922,Societario,junior,19,null,192.3,104.78,9.4,-,2016-02-08
VC4303,Societario,junior,59,11064.41,161.9,91.81,5.6,-,2016-12-17
VC4565,Fiscal,pleno,42,2191.58,159.6,93.19,7.5,-,2016-04-13
VC4727,Societario,senior,36,4748.93,169.6,108.05,NA,CRC,2019-01-12
VC4990,Auditoria,pleno,41,2531.41,175.9,107.03,n/a,CNAI,2017-04-22
VC4982,Fiscal,senior,32,1791.16,205.2,102.73,8.8,CRC,2024-11-27
VC4294,Pessoal,senior,38,3810.53,156.5,61.81,7.9,CNAI,2021-10-02
VC4639,Auditoria,junior,38,5917.09,141.4,66.55,NA,-,2015-04-11
VC4977,Societario,pleno,44,5791.75,102.2,72.26,8.8,-,2015-03-09
VC4993,Fiscal,pleno,23,1712.91,177.6,106.34,7.2,-,2023-05-20
VC4642,Pessoal,junior,46,2395.1,194.4,105.78,7.9,-,2018-05-02
VC4807,Societario,pleno,30,5401.53,167.4,78.81,4.6,CRC,2024-06-25
VC4898,Fiscal,senior,45,n/a,170.4,61.17,7.3,-,2017-08-08
VC4327,Contabil,pleno,46,2036.28,160.7,79.17,5.5,-,2022-01-18
VC4936,Contabil,junior,41,3236.77,,90.29,5.5,-,2017-04-07
VC4868,Fiscal,pleno,53,3742.76,136.1,83.0,7.7,CRC,2024-03-10
VC4413,Contabil,junior,19,2226.6,159.7,98.0,6.4,-,2022-09-15
VC4412,Societario,pleno,22,3542.99,183.8,123.67,6.3,-,2021-05-19
VC4769,Pessoal,senior,40,2456.14,144.6,107.5,6.8,CRC,2019-02-08
VC4809,Fiscal,junior,35,1857.63,169.0,83.47,7.4,-,2024-11-11
VC4626,Pessoal,junior,41,3698.62,137.0,95.3,9.2,-,2015-06-04
VC4656,Contabil,senior,47,2505.45,194.0,115.35,7.3,CNAI,2021-01-01
VC4927,Fiscal,junior,38,3919.16,128.7,90.74,7.1,CRC,2022-12-19
VC4895,Contabil,senior,62,3316.64,167.4,101.15,6.3,-,2024-08-13
VC4730,Societario,junior,36,3029.41,186.2,126.68,10.0,-,2019-03-18
VC4963,Fiscal,junior,27,3164.2,201.7,108.79,NA,CRC,2023-07-15
VC4560,Fiscal,junior,43,4149.41,196.2,83.62,3.9,CNAI,2024-03-09
VC4519,Fiscal,junior,46,1632.75,155.7,84.64,5.8,CNAI,2022-04-16
VC4790,Pessoal,senior,47,3572.06,159.4,96.64,null,-,2020-09-28
VC4526,Pessoal,junior,38,2987.13,183.2,143.75,5.8,-,2023-04-10
VC4781,Pessoal,pleno,55,5510.91,159.3,90.33,6.6,-,2017-10-20
VC4967,Contabil,pleno,39,2181.85,167.0,104.27,10.0,-,2018-05-25
VC4813,Auditoria,pleno,38,5546.19,175.6,66.99,3.7,CNAI,2024-05-27
VC4919,Fiscal,junior,35,1972.53,219.7,145.22,6.3,-,2024-02-14
VC4942,Societario,senior,22,2730.1,173.0,91.09,N/A,-,2019-12-19
VC4611,Pessoal,pleno,44,5569.96,210.5,89.8,8.0,-,2021-10-25
VC4673,Contabil,junior,31,1365.54,170.1,83.8,6.3,CRC,2017-03-17
VC5084,Societario,junior,42,2158.23,163.4,136.5,7.3,-,2023-01-03
VC4805,Fiscal,junior,35,8260.99,174.7,126.81,7.9,-,2015-11-16
VC4709,Fiscal,pleno,38,7433.07,168.8,95.57,null,CNAI,2024-04-19
VC4269,Fiscal,junior,30,5214.31,139.9,70.81,7.9,-,2022-12-01
VC4880,Contabil,junior,44,1413.21,168.4,77.77,6.3,CRC,2019-09-11
VC4578,Fiscal,pleno,27,7308.98,136.9,74.83,7.7,CRC,2019-06-19
VC4810,Fiscal,junior,47,6953.14,157.9,83.34,8.7,-,2017-02-01
VC4771,Fiscal,senior,47,1269.05,137.5,87.97,7.9,-,2016-06-18
VC4226,Auditoria,senior,19,2468.6,171.9,108.06,8.9,CRC,2022-11-26
VC4822,Societario,junior,41,4696.95,170.7,96.81,7.3,-,2015-02-22
VC4321,Pessoal,junior,32,1656.39,167.6,143.67,5.4,CRC,2021-07-28
VC4302,Societario,pleno,40,2888.88,164.6,79.86,8.9,CRC,2023-11-08
VC4265,Pessoal,junior,36,5621.91,166.0,90.75,6.6,CNAI,2022-04-24
VC4455,Contabil,pleno,29,3838.62,167.6,65.19,6.8,-,2018-07-20
VC4569,Pessoal,junior,45,4367.05,199.5,117.62,6.2,-,2017-04-02
VC4893,Fiscal,pleno,28,2243.98,170.6,113.62,7.2,-,2024-06-02
VC4419,Auditoria,senior,24,3761.4,129.4,65.46,8.0,CNAI,2015-02-20
VC4948,Pessoal,junior,32,5222.66,170.6,128.76,4.9,-,2024-01-04
VC5082,Fiscal,junior,29,6415.89,144.0,46.96,8.6,CNAI,2018-07-15
VC4972,Auditoria,junior,52,2300.92,173.4,113.92,5.8,-,2015-10-10
VC4910,Auditoria,pleno,19,2727.8,169.4,89.72,8.4,-,2022-06-01
VC4760,Pessoal,pleno,32,3235.78,92.1,44.61,7.1,CNAI,2023-08-08
VC4249,Pessoal,junior,57,2667.72,190.5,112.14,6.6,-,2017-01-01
VC4755,Contabil,junior,22,789.06,193.4,134.26,8.9,-,2016-03-22
VC4342,Societario,junior,38,9485.04,125.5,53.25,7.1,CRC,2015-03-08
VC5077,Societario,senior,58,5379.31,183.9,105.53,-,CRC,2018-11-07
VC4836,Contabil,junior,36,4483.58,174.0,107.75,4.2,CRC,2015-03-17
VC4553,Contabil,junior,36,4061.36,178.3,89.88,9.4,CRC,2020-11-06
VC4961,Societario,junior,43,2942.65,158.3,114.74,6.9,-,2020-05-22
VC4544,Societario,junior,32,5251.68,147.4,114.59,8.2,CNAI,2015-07-01
VC4752,Fiscal,pleno,37,1583.26,,84.15,7.6,-,2024-11-10
VC4896,Societario,junior,47,1197.69,122.3,48.13,6.2,CNAI,2015-03-14
VC4906,Contabil,junior,56,1831.12,,85.57,7.6,CNAI,2021-01-11
VC4802,Fiscal,junior,37,null,162.7,94.95,8.8,CRC,2017-10-02
VC4892,Pessoal,junior,23,NA,187.3,105.58,5.3,-,2015-12-11
VC4589,Fiscal,pleno,37,1608.32,151.2,79.06,5.8,-,2020-06-27
VC4533,Fiscal,junior,41,6988.16,169.6,92.97,4.2,-,2024-11-02
VC4716,Fiscal,junior,56,3123.04,174.0,104.23,7.3,-,2022-06-23
VC4459,Fiscal,junior,37,3326.36,137.7,88.57,6.3,-,2020-04-27
VC4514,Contabil,junior,36,-,163.0,109.48,4.2,-,2020-03-07
VC4952,Contabil,pleno,35,8071.32,150.1,85.59,6.9,-,2021-11-18
VC4375,Pessoal,junior,26,2155.3,181.8,133.7,7.4,-,2016-09-07
VC5062,Auditoria,senior,45,9805.46,216.1,143.52,N/A,-,2017-11-03
VC4450,Auditoria,pleno,19,2599.35,186.9,93.87,4.3,-,2019-05-21
VC4780,Societario,junior,41,2784.85,179.4,124.54,9.3,-,2023-02-12
VC4620,Contabil,pleno,40,8558.56,183.2,141.4,4.5,CNAI,2018-03-22
VC4212,Fiscal,junior,39,4035.87,151.2,122.28,5.3,-,2017-06-05
VC4432,Auditoria,senior,41,2368.7,142.7,88.71,10.0,-,2015-12-02
VC4312,Fiscal,senior,28,3110.65,197.2,90.52,-,-,2018-05-03
VC4490,Societario,pleno,21,5179.17,140.5,68.32,10.0,-,2021-04-22
VC4587,Contabil,pleno,33,null,130.9,96.93,8.8,CNAI,2018-02-20
VC4888,Pessoal,pleno,31,12129.43,179.4,84.13,5.3,-,2021-11-02
VC4561,Auditoria,pleno,56,4601.44,,131.9,5.3,-,2020-09-03
VC4583,Contabil,junior,27,5011.52,181.8,101.98,6.6,CRC,2018-11-24
VC4508,Pessoal,senior,35,6276.17,194.7,105.66,6.7,CNAI,2022-01-26
VC4574,Pessoal,junior,44,3537.62,143.1,66.36,5.8,-,2024-10-05
VC4472,Societario,junior,54,-,153.5,97.47,8.3,CRC,2022-12-18
VC4971,Contabil,pleno,33,2655.39,,112.03,3.9,CRC,2017-05-24
VC4433,Contabil,junior,41,1043.27,138.2,78.39,7.4,-,2021-07-17
VC4534,Auditoria,senior,26,7700.63,162.5,103.19,10.0,-,2021-10-05
VC4905,Auditoria,pleno,33,,180.0,68.6,6.6,-,2019-06-18
VC4240,Fiscal,pleno,39,4552.7,142.0,73.38,8.6,-,2019-04-23
VC4821,Contabil,junior,41,3953.58,111.5,67.88,7.7,-,2018-11-12
VC4460,Auditoria,senior,38,4630.97,160.4,91.87,NA,CRC,2021-02-08
VC4210,Pessoal,junior,43,3544.18,151.7,96.61,7.2,CNAI,2018-02-19
VC4552,Pessoal,junior,41,2118.98,180.3,104.21,7.2,-,2022-08-22
VC4788,Fiscal,senior,42,15684.24,162.0,114.51,5.4,-,2024-11-04
VC4437,Pessoal,pleno,37,6519.4,185.8,120.6,4.4,CNAI,2020-10-27
VC4200,Pessoal,senior,38,6795.71,182.9,68.64,7.3,-,2015-02-27
VC4257,Auditoria,pleno,44,2312.5,176.7,87.77,N/A,-,2016-09-02
VC5005,Fiscal,senior,38,2366.25,185.6,96.9,7.8,-,2020-11-09
VC5051,Pessoal,junior,33,6877.99,171.7,110.15,10.0,-,2016-03-15
VC5055,Fiscal,pleno,40,1669.05,179.1,89.43,5.3,CRC,2015-06-14
VC4376,Societario,pleno,51,3427.78,185.9,110.11,n/a,CNAI,2021-02-21
VC4520,Contabil,pleno,31,N/A,173.2,96.17,,CRC,2017-06-15
VC4945,Societario,pleno,57,2720.37,178.0,125.92,4.8,CRC,2021-11-26
VC4830,Auditoria,pleno,40,4590.72,166.8,80.12,8.9,-,2018-10-02
VC5083,Fiscal,junior,37,2691.17,153.5,85.15,7.4,CRC,2019-06-15
VC4680,Auditoria,pleno,40,8683.87,161.4,67.17,6.1,CRC,2022-01-20
VC4847,Auditoria,junior,33,2180.88,121.7,90.01,5.3,CNAI,2021-07-14
VC4461,Contabil,junior,46,6474.96,179.4,137.51,7.7,CRC,2015-11-03
VC4228,Societario,junior,38,7002.37,146.5,115.06,5.3,CRC,2018-08-06
VC4453,Contabil,senior,38,2162.53,178.7,99.18,4.9,-,2024-04-13
VC4869,Auditoria,junior,37,3416.48,145.0,70.39,7.9,-,2019-04-09
VC4923,Fiscal,junior,50,2204.66,179.6,93.15,8.0,-,2023-09-04
VC4881,Societario,pleno,35,n/a,168.3,107.89,N/A,CRC,2016-04-28
VC4702,Fiscal,pleno,29,1084.07,,139.97,6.6,CRC,2018-05-05
VC4398,Pessoal,junior,34,12965.51,140.4,109.04,5.0,CRC,2020-11-07
VC4903,Fiscal,senior,43,null,178.9,102.56,8.3,CNAI,2015-03-27
VC4406,Auditoria,senior,27,3239.31,157.0,85.72,7.3,-,2016-12-20
VC4602,Contabil,junior,34,2719.19,178.4,101.92,5.5,CNAI,2023-04-23
VC4676,Fiscal,pleno,26,2656.62,176.5,129.33,-,-,2020-03-23
VC4495,Contabil,senior,39,6803.22,164.9,68.02,8.4,-,2015-07-27
VC4894,Pessoal,junior,34,3794.31,,71.67,4.3,-,2019-04-23
VC4389,Contabil,junior,33,2457.69,166.0,64.16,4.4,-,2015-02-21
